name,date_added,price
"Acid",2013-03-24,£38
"Abraxo cleaner",2016-09-25,£21
"Abraxo cleaner industrial grade",2014-12-03,£52
"Anti freeze bottle",2013-07-16,£45
"Bag of fertilizer",2016-08-14,£9
"Bloodbug proboscis",2015-04-25,£70
"Bloatfly gland",2014-05-20,£42
"Coolant",2013-02-26,£86
"Ichor sac",2013-03-22,£71
"Makeshift battery",2013-10-17,£46
"Suprathaw antifreeze",2014-08-12,£95
"Undamaged Abraxo cleaner",2015-09-11,£40
"Adhesive",2015-06-26,£56
"Duct tape",2013-10-25,£91
"Economy wonderglue",2016-08-03,£1
"Military grade duct tape",2013-02-27,£28
"Pack of duct tape",2014-01-14,£39
"Sealed wonderglue",2015-03-06,£95
"Vegetable starch",2016-11-17,£79
"Wonderglue",2016-08-23,£3
"Aluminum",2016-09-17,£94
"Alarm clock",2013-05-21,£88
"Aluminum can",2016-08-21,£61
"Aluminum canister",2013-07-03,£24
"Applicator",2013-03-17,£75
"Cake pan",2015-01-12,£61
"Carlisle typewriter",2016-02-27,£28
"Cauterizer",2015-09-10,£65
"Coffee tin",2015-10-11,£49
"Coolant cap",2015-08-27,£74
"Distress pulser",2015-12-12,£79
"Hubcap",2016-03-12,£70
"Inactive distress pulser",2016-10-19,£32
"Industrial oil canister",2013-11-03,£35
"Sensor",2014-06-16,£1
"spanner",2013-01-02,£53
"Surgical tray",2014-06-05,£9
"Sweeper",2015-10-17,£61
"Toy rocketship",2014-01-03,£6
"Tray",2013-06-25,£17
"Tri tool",2016-08-28,£17
"TV dinner tray",2014-11-23,£90
"Tweezers",2014-09-07,£6
"Wakemaster alarm clock",2016-02-04,£77
"Antiseptic",2013-05-18,£20
"Abraxo cleaner",2016-04-26,£4
"Abraxo cleaner industrial grade",2014-10-18,£79
"Blood sac",2013-05-05,£78
"Empty blood sac",2014-07-10,£53
"Industrial solvent",2014-03-02,£25
"Toothpaste",2015-01-12,£90
"Turpentine",2013-08-08,£43
"Undamaged Abraxo cleaner",2015-04-04,£78
"Asbestos",2014-05-15,£11
"Biometric scanner",2016-08-07,£41
"Chalk",2014-01-26,£78
"Cigarette carton",2014-05-09,£28
"Coffee pot",2015-10-09,£82
"Extinguisher",2013-01-06,£42
"Luxobrew coffee pot",2016-12-27,£59
"Oven mitt",2016-03-13,£91
"Pack of cigarettes",2016-02-03,£83
"Rat poison",2014-06-17,£13
"Teapot",2015-01-02,£66
"Ballistic fiber",2016-11-28,£97
"Military ammo bag",2015-01-02,£80
"Military grade duct tape",2015-12-08,£91
"Bone",2014-10-12,£71
"brahmin skull",2013-07-12,£31
"capless skull",2014-08-09,£65
"Deathclaw hand",2015-03-06,£96
"femur",2014-12-21,£91
"human jaw",2013-05-28,£56
"jawless brahmin skull",2014-08-13,£61
"left arm bones",2016-05-17,£79
"left foot bones",2013-02-27,£8
"left hand bones",2015-04-06,£93
"left leg bones",2016-11-24,£39
"mole rat teeth",2016-11-27,£98
"pelvis bones",2015-10-12,£18
"rib cage and pelvis",2013-06-08,£3
"rib cage and spine",2014-11-08,£1
"right arm bones",2015-02-16,£43
"right hand bones",2016-05-23,£28
"right leg bones",2015-07-14,£51
"skull cap bone",2015-03-20,£4
"skull faceplate",2015-08-19,£31
"skull fragment",2016-09-02,£50
"skull",2015-02-13,£36
"tibia",2013-04-14,£19
"upper skull",2013-04-13,£97
"Ceramic",2016-10-24,£15
"ashtray",2014-11-24,£9
"bowl",2016-12-09,£85
"ceramic bowl",2013-03-24,£19
"clean red plate",2014-08-14,£52
"clean white plate",2015-03-03,£77
"Coffee cup",2014-05-26,£37
"cracked bowl",2016-04-28,£84
